trial_id,split,task_name,topic,risk_level,difficulty,response_pattern,input_client_statement,input_counselor_response,input_text,ground_truth,ground_truth_binary,model_output,model_probability,human_rating_of_model_output,dataset_source
study_0001,study,counselor_response_appropriateness,domestic_safety_concern,high,hard,coercive_control,I am afraid things could escalate if I set boundaries at home.,Stop questioning this and follow my instructions immediately.,Client: I am afraid things could escalate if I set boundaries at home. Counselor response: Stop questioning this and follow my instructions immediately.,problematic,0,,,,synthetic_custom_created_for_hw2
study_0002,study,counselor_response_appropriateness,career_burnout,moderate,hard,strengths_reframe,I feel completely drained after work and I dread opening my laptop.,I hear both pain and effort in what you shared. Could we look at when constant pressure at work feels even slightly more manageable?,Client: I feel completely drained after work and I dread opening my laptop. Counselor response: I hear both pain and effort in what you shared. Could we look at when constant pressure at work feels even slightly more manageable?,appropriate,1,,,,synthetic_custom_created_for_hw2
study_0003,study,counselor_response_appropriateness,sleep_dysregulation,low,easy,judgmental_blame,I lie awake for hours replaying everything that went wrong.,You are being dramatic. You should just be more responsible.,Client: I lie awake for hours replaying everything that went wrong. Counselor response: You are being dramatic. You should just be more responsible.,problematic,0,,,,synthetic_custom_created_for_hw2
study_0004,study,counselor_response_appropriateness,grief_loss,moderate,easy,invalidation,"I keep thinking I should be doing better by now, but I still break down.",This is not worth this much emotion. this is not a big deal.,"Client: I keep thinking I should be doing better by now, but I still break down. Counselor response: This is not worth this much emotion. this is not a big deal.",problematic,0,,,,synthetic_custom_created_for_hw2
study_0005,study,counselor_response_appropriateness,identity_stress,low,hard,strengths_reframe,I feel pulled between cultural expectations and what I want for myself.,I hear both pain and effort in what you shared. Could we look at when cultural pressure feels even slightly more manageable?,Client: I feel pulled between cultural expectations and what I want for myself. Counselor response: I hear both pain and effort in what you shared. Could we look at when cultural pressure feels even slightly more manageable?,appropriate,1,,,,synthetic_custom_created_for_hw2
study_0006,study,counselor_response_appropriateness,imposter_syndrome,low,easy,validation_open_question,I keep waiting for people to realize I am not qualified.,Thank you for sharing this. It makes sense that you feel guilty given self-doubt. What feels hardest right now?,Client: I keep waiting for people to realize I am not qualified. Counselor response: Thank you for sharing this. It makes sense that you feel guilty given self-doubt. What feels hardest right now?,appropriate,1,,,,synthetic_custom_created_for_hw2
study_0007,study,counselor_response_appropriateness,grief_loss,moderate,hard,boundary_crossing,"I keep thinking I should be doing better by now, but I still break down.",You only need me for this. Keep this between us and follow my instructions.,"Client: I keep thinking I should be doing better by now, but I still break down. Counselor response: You only need me for this. Keep this between us and follow my instructions.",problematic,0,,,,synthetic_custom_created_for_hw2
study_0008,study,counselor_response_appropriateness,identity_stress,low,easy,validation_open_question,"When people make assumptions about me, I shut down.",I hear how heavy this has been. Your reaction to cultural pressure is understandable. What part would you like to start with?,"Client: When people make assumptions about me, I shut down. Counselor response: I hear how heavy this has been. Your reaction to cultural pressure is understandable. What part would you like to start with?",appropriate,1,,,,synthetic_custom_created_for_hw2
study_0009,study,counselor_response_appropriateness,academic_stress,moderate,medium,premature_directive,I keep comparing myself to classmates and I feel ashamed all day.,Do not dwell on this. do exactly what I say.,Client: I keep comparing myself to classmates and I feel ashamed all day. Counselor response: Do not dwell on this. do exactly what I say.,problematic,0,,,,synthetic_custom_created_for_hw2
study_0010,study,counselor_response_appropriateness,sleep_dysregulation,low,medium,premature_directive,I wake up exhausted even when I am in bed all night.,Do not dwell on this. just push through and ignore the feelings.,Client: I wake up exhausted even when I am in bed all night. Counselor response: Do not dwell on this. just push through and ignore the feelings.,problematic,0,,,,synthetic_custom_created_for_hw2
