trial_id,split,task_name,topic,risk_level,difficulty,response_pattern,input_client_statement,input_counselor_response,input_text,ground_truth,ground_truth_binary,model_output,model_probability,human_rating_of_model_output,dataset_source
train_0001,train,counselor_response_appropriateness,grief_loss,moderate,hard,boundary_crossing,"I keep thinking I should be doing better by now, but I still break down.",Do not involve anyone else. Just message me anytime day or night and I will fix this personally.,"Client: I keep thinking I should be doing better by now, but I still break down. Counselor response: Do not involve anyone else. Just message me anytime day or night and I will fix this personally.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0002,train,counselor_response_appropriateness,trauma_reminder,high,easy,safety_underreaction,Certain sounds trigger flashbacks and I feel like I am back there.,You are probably just exhausted. Get some sleep and you will be fine.,Client: Certain sounds trigger flashbacks and I feel like I am back there. Counselor response: You are probably just exhausted. Get some sleep and you will be fine.,problematic,0,,,,synthetic_custom_created_for_hw2
train_0003,train,counselor_response_appropriateness,family_conflict,moderate,hard,toxic_positivity,I feel guilty setting boundaries with relatives even when I need space.,"Thanks for sharing, but if you stay positive this will disappear quickly.","Client: I feel guilty setting boundaries with relatives even when I need space. Counselor response: Thanks for sharing, but if you stay positive this will disappear quickly.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0004,train,counselor_response_appropriateness,trauma_reminder,high,hard,safety_plan_collaboration,Certain sounds trigger flashbacks and I feel like I am back there.,"I hear how intense this is. Before anything else, let us make a short safety plan for the next 24 hours and connect you with direct support.","Client: Certain sounds trigger flashbacks and I feel like I am back there. Counselor response: I hear how intense this is. Before anything else, let us make a short safety plan for the next 24 hours and connect you with direct support.",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0005,train,counselor_response_appropriateness,career_burnout,moderate,easy,validation_open_question,I am behind on tasks and feel on edge whenever email notifications pop up.,I hear how heavy this has been. Your reaction to burnout is understandable. What part would you like to start with?,Client: I am behind on tasks and feel on edge whenever email notifications pop up. Counselor response: I hear how heavy this has been. Your reaction to burnout is understandable. What part would you like to start with?,appropriate,1,,,,synthetic_custom_created_for_hw2
train_0006,train,counselor_response_appropriateness,imposter_syndrome,low,hard,boundary_crossing,"I got positive feedback, but I still feel like a fraud.",Do not involve anyone else. Just message me anytime day or night and I will fix this personally.,"Client: I got positive feedback, but I still feel like a fraud. Counselor response: Do not involve anyone else. Just message me anytime day or night and I will fix this personally.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0007,train,counselor_response_appropriateness,social_anxiety,low,hard,strengths_reframe,I avoid social events because I assume people will judge me.,I hear both pain and effort in what you shared. Could we look at when fear of judgment feels even slightly more manageable?,Client: I avoid social events because I assume people will judge me. Counselor response: I hear both pain and effort in what you shared. Could we look at when fear of judgment feels even slightly more manageable?,appropriate,1,,,,synthetic_custom_created_for_hw2
train_0008,train,counselor_response_appropriateness,trauma_reminder,high,easy,safety_underreaction,Nightmares and sudden panic make me feel unsafe in my own body.,"This sounds dramatic, not urgent. Try to distract yourself and move on.","Client: Nightmares and sudden panic make me feel unsafe in my own body. Counselor response: This sounds dramatic, not urgent. Try to distract yourself and move on.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0009,train,counselor_response_appropriateness,academic_stress,moderate,medium,reflective_collaboration,I keep comparing myself to classmates and I feel on edge all day.,You are carrying a lot with academic expectations. We can move at your pace and map one manageable next step together.,Client: I keep comparing myself to classmates and I feel on edge all day. Counselor response: You are carrying a lot with academic expectations. We can move at your pace and map one manageable next step together.,appropriate,1,,,,synthetic_custom_created_for_hw2
train_0010,train,counselor_response_appropriateness,career_burnout,moderate,hard,strengths_reframe,"lately, every shift leaves me exhausted and irritable.","Part of you is exhausted, and part of you keeps showing up anyway. What has helped you get through even the toughest days?","Client: lately, every shift leaves me exhausted and irritable. Counselor response: Part of you is exhausted, and part of you keeps showing up anyway. What has helped you get through even the toughest days?",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0011,train,counselor_response_appropriateness,identity_stress,low,easy,judgmental_blame,"When people make assumptions about me, I shut down.","If you were more disciplined, this would not happen. You should just be more responsible.","Client: When people make assumptions about me, I shut down. Counselor response: If you were more disciplined, this would not happen. You should just be more responsible.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0012,train,counselor_response_appropriateness,career_burnout,moderate,easy,validation_open_question,I am behind on tasks and feel on edge whenever email notifications pop up.,Thank you for sharing this. It makes sense that you feel guilty given constant pressure at work. What feels hardest right now?,Client: I am behind on tasks and feel on edge whenever email notifications pop up. Counselor response: Thank you for sharing this. It makes sense that you feel guilty given constant pressure at work. What feels hardest right now?,appropriate,1,,,,synthetic_custom_created_for_hw2
train_0013,train,counselor_response_appropriateness,relationship_conflict,low,medium,reflective_collaboration,I do not know if I am asking for too much in this relationship.,It sounds like communication at home has been taking a lot of energy. Would it help if we identified one realistic change for this week?,Client: I do not know if I am asking for too much in this relationship. Counselor response: It sounds like communication at home has been taking a lot of energy. Would it help if we identified one realistic change for this week?,appropriate,1,,,,synthetic_custom_created_for_hw2
train_0014,train,counselor_response_appropriateness,identity_stress,low,hard,strengths_reframe,"I am not sure where I fit, and it leaves me feeling disconnected.",I hear both pain and effort in what you shared. Could we look at when belonging feels even slightly more manageable?,"Client: I am not sure where I fit, and it leaves me feeling disconnected. Counselor response: I hear both pain and effort in what you shared. Could we look at when belonging feels even slightly more manageable?",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0015,train,counselor_response_appropriateness,self_harm_ideation,high,hard,coercive_control,I am scared by how often thoughts of not waking up show up.,Stop questioning this and follow my instructions immediately.,Client: I am scared by how often thoughts of not waking up show up. Counselor response: Stop questioning this and follow my instructions immediately.,problematic,0,,,,synthetic_custom_created_for_hw2
train_0016,train,counselor_response_appropriateness,financial_stress,moderate,hard,toxic_positivity,Money stress is affecting my sleep and concentration.,"Thanks for sharing, but if you stay positive this will disappear quickly.","Client: Money stress is affecting my sleep and concentration. Counselor response: Thanks for sharing, but if you stay positive this will disappear quickly.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0017,train,counselor_response_appropriateness,relationship_conflict,low,hard,toxic_positivity,I do not know if I am asking for too much in this relationship.,"Thanks for sharing, but if you stay positive this will disappear quickly.","Client: I do not know if I am asking for too much in this relationship. Counselor response: Thanks for sharing, but if you stay positive this will disappear quickly.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0018,train,counselor_response_appropriateness,grief_loss,moderate,easy,validation_open_question,"Since my loss, normal routines feel heavy and unreal.",Thank you for sharing this. It makes sense that you feel overwhelmed given mourning. What feels hardest right now?,"Client: Since my loss, normal routines feel heavy and unreal. Counselor response: Thank you for sharing this. It makes sense that you feel overwhelmed given mourning. What feels hardest right now?",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0019,train,counselor_response_appropriateness,identity_stress,low,medium,premature_directive,"I am not sure where I fit, and it leaves me feeling disconnected.",Do not dwell on this. just push through and ignore the feelings.,"Client: I am not sure where I fit, and it leaves me feeling disconnected. Counselor response: Do not dwell on this. just push through and ignore the feelings.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0020,train,counselor_response_appropriateness,trauma_reminder,high,hard,safety_plan_collaboration,Certain sounds trigger flashbacks and I feel like I am back there.,"What you shared is serious, and I appreciate your honesty. Let us focus on immediate safety and identify one person from a care provider you can contact today.","Client: Certain sounds trigger flashbacks and I feel like I am back there. Counselor response: What you shared is serious, and I appreciate your honesty. Let us focus on immediate safety and identify one person from a care provider you can contact today.",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0021,train,counselor_response_appropriateness,imposter_syndrome,low,hard,toxic_positivity,"Even when things go well, I assume I just got lucky.","Thanks for sharing, but if you stay positive this will disappear quickly.","Client: Even when things go well, I assume I just got lucky. Counselor response: Thanks for sharing, but if you stay positive this will disappear quickly.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0022,train,counselor_response_appropriateness,relationship_conflict,low,hard,strengths_reframe,My partner and I keep having the same fight and I feel unheard.,"Part of you is exhausted, and part of you keeps showing up anyway. What has helped you get through even the toughest days?","Client: My partner and I keep having the same fight and I feel unheard. Counselor response: Part of you is exhausted, and part of you keeps showing up anyway. What has helped you get through even the toughest days?",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0023,train,counselor_response_appropriateness,self_harm_ideation,high,medium,safety_check_referral,I am scared by how often thoughts of not waking up show up.,"I am really glad you told me. Your safety matters. Are you in immediate danger right now? If yes, contact 988 or emergency services while we plan immediate support.","Client: I am scared by how often thoughts of not waking up show up. Counselor response: I am really glad you told me. Your safety matters. Are you in immediate danger right now? If yes, contact 988 or emergency services while we plan immediate support.",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0024,train,counselor_response_appropriateness,self_harm_ideation,high,hard,coercive_control,Sometimes I wish I could disappear because this all feels pointless.,Stop questioning this and follow my instructions immediately.,Client: Sometimes I wish I could disappear because this all feels pointless. Counselor response: Stop questioning this and follow my instructions immediately.,problematic,0,,,,synthetic_custom_created_for_hw2
train_0025,train,counselor_response_appropriateness,relationship_conflict,low,easy,validation_open_question,I do not know if I am asking for too much in this relationship.,Thank you for sharing this. It makes sense that you feel anxious given relationship conflict. What feels hardest right now?,Client: I do not know if I am asking for too much in this relationship. Counselor response: Thank you for sharing this. It makes sense that you feel anxious given relationship conflict. What feels hardest right now?,appropriate,1,,,,synthetic_custom_created_for_hw2
train_0026,train,counselor_response_appropriateness,social_anxiety,low,hard,boundary_crossing,"Before networking events, I feel nauseous and want to cancel.",Do not involve anyone else. Just message me anytime day or night and I will fix this personally.,"Client: Before networking events, I feel nauseous and want to cancel. Counselor response: Do not involve anyone else. Just message me anytime day or night and I will fix this personally.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0027,train,counselor_response_appropriateness,academic_stress,moderate,hard,boundary_crossing,I keep comparing myself to classmates and I feel overwhelmed all day.,You only need me for this. Keep this between us and follow my instructions.,Client: I keep comparing myself to classmates and I feel overwhelmed all day. Counselor response: You only need me for this. Keep this between us and follow my instructions.,problematic,0,,,,synthetic_custom_created_for_hw2
train_0028,train,counselor_response_appropriateness,career_burnout,moderate,easy,judgmental_blame,I am behind on tasks and feel anxious whenever email notifications pop up.,"Honestly, this sounds self-inflicted. You need better discipline.","Client: I am behind on tasks and feel anxious whenever email notifications pop up. Counselor response: Honestly, this sounds self-inflicted. You need better discipline.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0029,train,counselor_response_appropriateness,grief_loss,moderate,hard,strengths_reframe,"Since my loss, normal routines feel heavy and unreal.",I hear both pain and effort in what you shared. Could we look at when loss feels even slightly more manageable?,"Client: Since my loss, normal routines feel heavy and unreal. Counselor response: I hear both pain and effort in what you shared. Could we look at when loss feels even slightly more manageable?",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0030,train,counselor_response_appropriateness,relationship_conflict,low,easy,validation_open_question,I do not know if I am asking for too much in this relationship.,I hear how heavy this has been. Your reaction to relationship conflict is understandable. What part would you like to start with?,Client: I do not know if I am asking for too much in this relationship. Counselor response: I hear how heavy this has been. Your reaction to relationship conflict is understandable. What part would you like to start with?,appropriate,1,,,,synthetic_custom_created_for_hw2
train_0031,train,counselor_response_appropriateness,substance_urge,moderate,hard,boundary_crossing,"After hard days, I rely on substances to turn my brain off.",You only need me for this. Keep this between us and follow my instructions.,"Client: After hard days, I rely on substances to turn my brain off. Counselor response: You only need me for this. Keep this between us and follow my instructions.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0032,train,counselor_response_appropriateness,relationship_conflict,low,hard,strengths_reframe,My partner and I keep having the same fight and I feel unheard.,I hear both pain and effort in what you shared. Could we look at when relationship conflict feels even slightly more manageable?,Client: My partner and I keep having the same fight and I feel unheard. Counselor response: I hear both pain and effort in what you shared. Could we look at when relationship conflict feels even slightly more manageable?,appropriate,1,,,,synthetic_custom_created_for_hw2
train_0033,train,counselor_response_appropriateness,domestic_safety_concern,high,easy,safety_underreaction,I am afraid things could escalate if I set boundaries at home.,"This sounds dramatic, not urgent. Try to distract yourself and move on.","Client: I am afraid things could escalate if I set boundaries at home. Counselor response: This sounds dramatic, not urgent. Try to distract yourself and move on.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0034,train,counselor_response_appropriateness,domestic_safety_concern,high,hard,safety_plan_collaboration,My partner checks my phone and gets angry when I talk to others.,"I hear how intense this is. Before anything else, let us make a short safety plan for the next 24 hours and connect you with direct support.","Client: My partner checks my phone and gets angry when I talk to others. Counselor response: I hear how intense this is. Before anything else, let us make a short safety plan for the next 24 hours and connect you with direct support.",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0035,train,counselor_response_appropriateness,sleep_dysregulation,low,hard,boundary_crossing,I lie awake for hours replaying everything that went wrong.,You only need me for this. Keep this between us and follow my instructions.,Client: I lie awake for hours replaying everything that went wrong. Counselor response: You only need me for this. Keep this between us and follow my instructions.,problematic,0,,,,synthetic_custom_created_for_hw2
train_0036,train,counselor_response_appropriateness,imposter_syndrome,low,hard,strengths_reframe,"I got positive feedback, but I still feel like a fraud.","Part of you is exhausted, and part of you keeps showing up anyway. What has helped you get through even the toughest days?","Client: I got positive feedback, but I still feel like a fraud. Counselor response: Part of you is exhausted, and part of you keeps showing up anyway. What has helped you get through even the toughest days?",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0037,train,counselor_response_appropriateness,career_burnout,moderate,hard,strengths_reframe,I feel completely drained after work and I dread opening my laptop.,I hear both pain and effort in what you shared. Could we look at when constant pressure at work feels even slightly more manageable?,Client: I feel completely drained after work and I dread opening my laptop. Counselor response: I hear both pain and effort in what you shared. Could we look at when constant pressure at work feels even slightly more manageable?,appropriate,1,,,,synthetic_custom_created_for_hw2
train_0038,train,counselor_response_appropriateness,sleep_dysregulation,low,easy,invalidation,I lie awake for hours replaying everything that went wrong.,You are overreacting. you just need to be positive.,Client: I lie awake for hours replaying everything that went wrong. Counselor response: You are overreacting. you just need to be positive.,problematic,0,,,,synthetic_custom_created_for_hw2
train_0039,train,counselor_response_appropriateness,financial_stress,moderate,hard,strengths_reframe,I am working extra hours and still feel like I cannot catch up.,I hear both pain and effort in what you shared. Could we look at when budget pressure feels even slightly more manageable?,Client: I am working extra hours and still feel like I cannot catch up. Counselor response: I hear both pain and effort in what you shared. Could we look at when budget pressure feels even slightly more manageable?,appropriate,1,,,,synthetic_custom_created_for_hw2
train_0040,train,counselor_response_appropriateness,career_burnout,moderate,easy,judgmental_blame,I feel completely drained after work and I dread opening my laptop.,You are being dramatic. You should just be more responsible.,Client: I feel completely drained after work and I dread opening my laptop. Counselor response: You are being dramatic. You should just be more responsible.,problematic,0,,,,synthetic_custom_created_for_hw2
train_0041,train,counselor_response_appropriateness,domestic_safety_concern,high,hard,safety_plan_collaboration,I am afraid things could escalate if I set boundaries at home.,"What you shared is serious, and I appreciate your honesty. Let us focus on immediate safety and identify one person from a trusted friend you can contact today.","Client: I am afraid things could escalate if I set boundaries at home. Counselor response: What you shared is serious, and I appreciate your honesty. Let us focus on immediate safety and identify one person from a trusted friend you can contact today.",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0042,train,counselor_response_appropriateness,imposter_syndrome,low,hard,toxic_positivity,I keep waiting for people to realize I am not qualified.,"Thanks for sharing, but if you stay positive this will disappear quickly.","Client: I keep waiting for people to realize I am not qualified. Counselor response: Thanks for sharing, but if you stay positive this will disappear quickly.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0043,train,counselor_response_appropriateness,grief_loss,moderate,easy,validation_open_question,"Since my loss, normal routines feel heavy and unreal.",Thank you for sharing this. It makes sense that you feel drained given loss. What feels hardest right now?,"Client: Since my loss, normal routines feel heavy and unreal. Counselor response: Thank you for sharing this. It makes sense that you feel drained given loss. What feels hardest right now?",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0044,train,counselor_response_appropriateness,trauma_reminder,high,medium,safety_check_referral,Nightmares and sudden panic make me feel unsafe in my own body.,"I am really glad you told me. Your safety matters. Are you in immediate danger right now? If yes, contact 988 or emergency services while we plan immediate support.","Client: Nightmares and sudden panic make me feel unsafe in my own body. Counselor response: I am really glad you told me. Your safety matters. Are you in immediate danger right now? If yes, contact 988 or emergency services while we plan immediate support.",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0045,train,counselor_response_appropriateness,domestic_safety_concern,high,easy,safety_underreaction,"At home I feel watched and controlled, and I do not feel safe.",You are probably just exhausted. Get some sleep and you will be fine.,"Client: At home I feel watched and controlled, and I do not feel safe. Counselor response: You are probably just exhausted. Get some sleep and you will be fine.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0046,train,counselor_response_appropriateness,domestic_safety_concern,high,medium,safety_check_referral,"At home I feel watched and controlled, and I do not feel safe.","I am really glad you told me. Your safety matters. Are you in immediate danger right now? If yes, contact 988 or emergency services while we plan immediate support.","Client: At home I feel watched and controlled, and I do not feel safe. Counselor response: I am really glad you told me. Your safety matters. Are you in immediate danger right now? If yes, contact 988 or emergency services while we plan immediate support.",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0047,train,counselor_response_appropriateness,social_anxiety,low,easy,judgmental_blame,I replay conversations for hours and feel embarrassed.,"Honestly, this sounds self-inflicted. You need better discipline.","Client: I replay conversations for hours and feel embarrassed. Counselor response: Honestly, this sounds self-inflicted. You need better discipline.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0048,train,counselor_response_appropriateness,imposter_syndrome,low,medium,premature_directive,I keep waiting for people to realize I am not qualified.,Do not dwell on this. just push through and ignore the feelings.,Client: I keep waiting for people to realize I am not qualified. Counselor response: Do not dwell on this. just push through and ignore the feelings.,problematic,0,,,,synthetic_custom_created_for_hw2
train_0049,train,counselor_response_appropriateness,career_burnout,moderate,easy,invalidation,"for the last few days, every shift leaves me exhausted and irritable.",This is not worth this much emotion. you should just toughen up.,"Client: for the last few days, every shift leaves me exhausted and irritable. Counselor response: This is not worth this much emotion. you should just toughen up.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0050,train,counselor_response_appropriateness,imposter_syndrome,low,hard,toxic_positivity,"I got positive feedback, but I still feel like a fraud.","Thanks for sharing, but if you stay positive this will disappear quickly.","Client: I got positive feedback, but I still feel like a fraud. Counselor response: Thanks for sharing, but if you stay positive this will disappear quickly.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0051,train,counselor_response_appropriateness,social_anxiety,low,hard,toxic_positivity,I avoid social events because I assume people will judge me.,"I hear this is hard, but you should focus only on gratitude and stop talking about the negative.","Client: I avoid social events because I assume people will judge me. Counselor response: I hear this is hard, but you should focus only on gratitude and stop talking about the negative.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0052,train,counselor_response_appropriateness,substance_urge,moderate,hard,boundary_crossing,"When stress spikes, I feel a strong urge to drink to numb out.",You only need me for this. Keep this between us and follow my instructions.,"Client: When stress spikes, I feel a strong urge to drink to numb out. Counselor response: You only need me for this. Keep this between us and follow my instructions.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0053,train,counselor_response_appropriateness,domestic_safety_concern,high,medium,confidentiality_breach,My partner checks my phone and gets angry when I talk to others.,I am going to share this with others immediately. We do not need to discuss consent.,Client: My partner checks my phone and gets angry when I talk to others. Counselor response: I am going to share this with others immediately. We do not need to discuss consent.,problematic,0,,,,synthetic_custom_created_for_hw2
train_0054,train,counselor_response_appropriateness,financial_stress,moderate,medium,premature_directive,I am working extra hours and still feel like I cannot catch up.,Do not dwell on this. do exactly what I say.,Client: I am working extra hours and still feel like I cannot catch up. Counselor response: Do not dwell on this. do exactly what I say.,problematic,0,,,,synthetic_custom_created_for_hw2
train_0055,train,counselor_response_appropriateness,academic_stress,moderate,medium,premature_directive,I keep comparing myself to classmates and I feel numb all day.,I do not need more details. do exactly what I say.,Client: I keep comparing myself to classmates and I feel numb all day. Counselor response: I do not need more details. do exactly what I say.,problematic,0,,,,synthetic_custom_created_for_hw2
train_0056,train,counselor_response_appropriateness,academic_stress,moderate,hard,strengths_reframe,I keep comparing myself to classmates and I feel ashamed all day.,"Part of you is exhausted, and part of you keeps showing up anyway. What has helped you get through even the toughest days?","Client: I keep comparing myself to classmates and I feel ashamed all day. Counselor response: Part of you is exhausted, and part of you keeps showing up anyway. What has helped you get through even the toughest days?",appropriate,1,,,,synthetic_custom_created_for_hw2
